location,year_month,new_cases,new_deaths,total_cases,total_deaths,people_vaccinated,people_fully_vaccinated,total_vaccinations
Australia,2020-01,4.0,0.0,4.0,0.0,,,
Australia,2020-02,18.0,0.0,22.0,0.0,,,
Australia,2020-03,3787.0,16.0,3809.0,16.0,,,
Australia,2020-04,2894.0,69.0,6703.0,85.0,,,
Australia,2020-05,482.0,22.0,7185.0,107.0,,,
Australia,2020-06,456.0,1.0,7641.0,108.0,,,
Australia,2020-07,6309.0,66.0,13950.0,174.0,,,
Australia,2020-08,11597.0,550.0,25547.0,724.0,,,
Australia,2020-09,1469.0,163.0,27016.0,887.0,,,
Australia,2020-10,483.0,27.0,27499.0,914.0,,,
Australia,2020-11,386.0,4.0,27885.0,918.0,,,
Australia,2020-12,411.0,2.0,28296.0,920.0,,,
Australia,2021-01,515.0,3.0,28811.0,923.0,,,
Australia,2021-02,159.0,1.0,28970.0,924.0,34618.0,12.0,34630.0
Australia,2021-03,290.0,1.0,29260.0,925.0,671606.0,72724.0,744330.0
Australia,2021-04,406.0,3.0,29666.0,928.0,1976315.0,258529.0,2234844.0
Australia,2021-05,432.0,0.0,30098.0,928.0,3856485.0,506254.0,4362739.0
Australia,2021-06,737.0,0.0,30835.0,928.0,6109102.0,1633434.0,7742536.0
Australia,2021-07,2960.0,12.0,33795.0,940.0,8407015.0,3927056.0,12334071.0
Australia,2021-08,21866.0,92.0,55661.0,1032.0,12293802.0,7369320.0,19663122.0
Australia,2021-09,48489.0,280.0,104150.0,1312.0,16649549.0,11386339.0,28035888.0
Australia,2021-10,69834.0,554.0,173984.0,1866.0,19052562.0,16529442.0,35603091.0
Australia,2021-11,37441.0,300.0,211425.0,2166.0,20025197.0,18808812.0,39282954.0
Australia,2021-12,155182.0,211.0,366607.0,2377.0,20444346.0,19755837.0,42580539.0
Australia,2022-01,1956529.0,2092.0,2323136.0,4469.0,21683520.0,20211402.0,49866290.0
Australia,2022-02,693697.0,1583.0,3016833.0,6052.0,22055898.0,20483240.0,54065507.0
Australia,2022-03,1150567.0,579.0,4167400.0,6631.0,22210293.0,21240452.0,56362692.0
Australia,2022-04,1351213.0,963.0,5518613.0,7594.0,22231734.0,21527099.0,57575626.0
Australia,2022-05,1478635.0,1610.0,6997248.0,9204.0,,21614599.0,59202011.0
Australia,2022-06,779787.0,1374.0,7777035.0,10578.0,,21647523.0,60277104.0
Australia,2022-07,1138110.0,2420.0,8915145.0,12998.0,,,62255266.0
Australia,2022-08,702093.0,1833.0,9617238.0,14831.0,,,63011373.0
Australia,2022-09,238051.0,785.0,9855289.0,15616.0,,,
Australia,2022-10,167562.0,477.0,10022851.0,16093.0,,,
Australia,2022-11,245053.0,559.0,10267904.0,16652.0,,,63406631.0
Australia,2022-12,426137.0,1164.0,10694041.0,17816.0,,,63583562.0
Australia,2023-01,277460.0,1094.0,10971501.0,18910.0,,,63668170.0
Australia,2023-02,71730.0,1436.0,11043231.0,20346.0,,,63681652.0
Australia,2023-03,82737.0,337.0,11125968.0,20683.0,,,65492360.0
Australia,2023-04,139623.0,658.0,11265591.0,21341.0,,,
Australia,2023-05,140254.0,729.0,11405845.0,22070.0,,,
Australia,2023-06,111767.0,700.0,11517612.0,22770.0,,,
Australia,2023-07,43908.0,85.0,11561520.0,22779.0,,,68247343.0
Australia,2023-08,20896.0,236.0,11582416.0,23015.0,,,68480571.0
Australia,2023-09,20730.0,154.0,11603146.0,23169.0,,,68653247.0
Australia,2023-10,27350.0,280.0,11630496.0,23449.0,,,68770769.0
Australia,2023-11,39061.0,344.0,11669557.0,23793.0,,,
Australia,2023-12,51978.0,551.0,11721535.0,24344.0,,,69686752.0
Australia,2024-01,40707.0,313.0,11762242.0,24657.0,,,
Australia,2024-02,30877.0,226.0,11793119.0,24883.0,,,
Australia,2024-03,30520.0,156.0,11823639.0,25039.0,,,
Australia,2024-04,17884.0,147.0,11841523.0,25186.0,,,
Australia,2024-05,19638.0,50.0,11861161.0,25236.0,,,
Australia,2024-06,0.0,0.0,11861161.0,25236.0,,,
Australia,2024-07,0.0,0.0,11861161.0,25236.0,,,
Australia,2024-08,0.0,0.0,11861161.0,25236.0,,,
China,2020-01,1985.0,56.0,1985.0,56.0,,,
China,2020-02,75057.0,2390.0,77042.0,2446.0,,,
China,2020-03,5299.0,860.0,82341.0,3306.0,,,
China,2020-04,1997.0,1336.0,84338.0,4642.0,,,
China,2020-05,232.0,3.0,84570.0,4645.0,,,
China,2020-06,620.0,3.0,85190.0,4648.0,,,
China,2020-07,1649.0,11.0,86839.0,4659.0,,,
China,2020-08,3512.0,69.0,90351.0,4728.0,,,
China,2020-09,615.0,18.0,90966.0,4746.0,,,
China,2020-10,708.0,0.0,91674.0,4746.0,,,
China,2020-11,1655.0,4.0,93329.0,4750.0,,,
China,2020-12,2995.0,27.0,96324.0,4777.0,,,4500000.0
China,2021-01,4650.0,46.0,100974.0,4823.0,,,24000000.0
China,2021-02,946.0,20.0,101920.0,4843.0,,,52520000.0
China,2021-03,778.0,8.0,102698.0,4851.0,,,119821000.0
China,2021-04,786.0,5.0,103484.0,4856.0,,,265064000.0
China,2021-05,7662.0,99.0,111146.0,4955.0,,,661468000.0
China,2021-06,7212.0,523.0,118358.0,5478.0,622000000.0,,1244675000.0
China,2021-07,1855.0,156.0,120213.0,5634.0,,,1652819000.0
China,2021-08,2782.0,48.0,122995.0,5682.0,1072500000.0,889439000.0,2067589000.0
China,2021-09,1500.0,8.0,124495.0,5690.0,1100842000.0,1047872000.0,2211452000.0
China,2021-10,1583.0,6.0,126078.0,5696.0,,1070386000.0,2274072000.0
China,2021-11,1686.0,1.0,127764.0,5697.0,1225000000.0,1110506000.0,2507975000.0
China,2021-12,3094.0,2.0,130858.0,5699.0,1259967000.0,1207413000.0,2835332000.0
China,2022-01,8134.0,1.0,138992.0,5700.0,1266070000.0,1227387000.0,3000532000.0
China,2022-02,162162.0,448.0,301154.0,6148.0,1269302000.0,1234540000.0,3129845000.0
China,2022-03,589113.0,6595.0,890267.0,12743.0,1277709000.0,1242281000.0,3270874000.0
China,2022-04,126894.0,2138.0,1017161.0,14881.0,1284935000.0,1249688000.0,3344528000.0
China,2022-05,1861172.0,1777.0,2878333.0,16658.0,1289584000.0,1255732000.0,3381314000.0
China,2022-06,1733603.0,4311.0,4611936.0,20969.0,1294045000.0,1260501000.0,3402622000.0
China,2022-07,1004184.0,2735.0,5616120.0,23704.0,1298636000.0,1264901000.0,3423669000.0
China,2022-08,696924.0,1062.0,6313044.0,24766.0,1301392000.0,1268285000.0,3432778000.0
China,2022-09,1091501.0,1478.0,7404545.0,26244.0,1302773000.0,1271408000.0,3436911000.0
China,2022-10,1509174.0,2216.0,8913719.0,28460.0,,1271711000.0,3439802000.0
China,2022-11,693865.0,1732.0,9607584.0,30192.0,1304631000.0,1272830000.0,3443749000.0
China,2022-12,52838066.0,8803.0,62445650.0,38995.0,1307222000.0,1274018000.0,3478094000.0
China,2023-01,35998934.0,30884.0,98444584.0,69879.0,1310207000.0,1276549000.0,3489746000.0
China,2023-02,537561.0,49942.0,98982145.0,119821.0,1310292000.0,1276760000.0,3491077000.0
China,2023-03,255961.0,1073.0,99238106.0,120894.0,,,
China,2023-04,9275.0,67.0,99247381.0,120961.0,,,
China,2023-05,19079.0,274.0,99266460.0,121235.0,,,
China,2023-06,18978.0,230.0,99285438.0,121465.0,,,
China,2023-07,14263.0,71.0,99299701.0,121536.0,,,
China,2023-08,5968.0,143.0,99305669.0,121679.0,,,
China,2023-09,5351.0,43.0,99311020.0,121722.0,,,
China,2023-10,7353.0,113.0,99318373.0,121835.0,,,
China,2023-11,2052.0,42.0,99320425.0,121877.0,,,
China,2023-12,2302.0,16.0,99322727.0,121893.0,,,
China,2024-01,5027.0,62.0,99327754.0,121938.0,,,
China,2024-02,6998.0,60.0,99334752.0,121993.0,,,
China,2024-03,12696.0,132.0,99347448.0,122125.0,,,
China,2024-04,5713.0,51.0,99353161.0,122176.0,,,
China,2024-05,5842.0,49.0,99359003.0,122225.0,,,
China,2024-06,4488.0,36.0,99363491.0,122261.0,,,
China,2024-07,7641.0,28.0,99371132.0,122289.0,,,
China,2024-08,2087.0,15.0,99373219.0,122304.0,,,
France,2020-01,3.0,0.0,3.0,0.0,,,
France,2020-02,13.0,0.0,16.0,0.0,,,
France,2020-03,0.0,2712.0,16.0,2712.0,,,
France,2020-04,0.0,11446.0,16.0,14158.0,,,
France,2020-05,8453.0,4305.0,8469.0,18463.0,,,
France,2020-06,9663.0,859.0,18132.0,19322.0,,,
France,2020-07,14252.0,412.0,32384.0,19734.0,,,
France,2020-08,98186.0,467.0,130570.0,20201.0,,,
France,2020-09,257619.0,1372.0,388189.0,21573.0,,,
France,2020-10,620142.0,3988.0,1008331.0,25561.0,,,
France,2020-11,1004074.0,23716.0,2012405.0,49277.0,,,
France,2020-12,325853.0,14257.0,2338258.0,63534.0,2623.0,2.0,2625.0
France,2021-01,592826.0,16371.0,2931084.0,79905.0,1680348.0,55310.0,1735660.0
France,2021-02,484134.0,10628.0,3415218.0,90533.0,3154522.0,1661643.0,4816197.0
France,2021-03,675024.0,7538.0,4090242.0,98071.0,8873655.0,2931565.0,11805333.0
France,2021-04,827241.0,8108.0,4917483.0,106179.0,16068169.0,6605366.0,22621234.0
France,2021-05,474253.0,6388.0,5391736.0,112567.0,26417423.0,11378670.0,37550301.0
France,2021-06,98997.0,1463.0,5490733.0,114030.0,34602301.0,21205674.0,55316784.0
France,2021-07,201958.0,528.0,5692691.0,114558.0,43098128.0,32449846.0,74790548.0
France,2021-08,686943.0,2038.0,6379634.0,116596.0,49129350.0,40480192.0,88756478.0
France,2021-09,233452.0,1643.0,6613086.0,118239.0,50946635.0,44610211.0,95754584.0
France,2021-10,161023.0,998.0,6774109.0,119237.0,51841220.0,46112320.0,100013394.0
France,2021-11,429341.0,1216.0,7203450.0,120453.0,52488353.0,47294683.0,106596349.0
France,2021-12,1506476.0,3712.0,8709926.0,124165.0,53230434.0,49647368.0,124246736.0
France,2022-01,9575270.0,7889.0,18285196.0,132054.0,54124920.0,51662803.0,137263399.0
France,2022-02,3625723.0,7060.0,21910919.0,139114.0,54340110.0,52585211.0,141498380.0
France,2022-03,2205833.0,3433.0,24116752.0,142547.0,54406535.0,52767228.0,142583021.0
France,2022-04,3249330.0,3330.0,27366082.0,145877.0,54454764.0,52851688.0,143758435.0
France,2022-05,1133747.0,2996.0,28499829.0,148873.0,54495871.0,52919172.0,144806876.0
France,2022-06,1096518.0,1122.0,29596347.0,149995.0,54531282.0,52983109.0,146207975.0
France,2022-07,3171066.0,2601.0,32767413.0,152596.0,54566822.0,53044264.0,148659924.0
France,2022-08,599636.0,1777.0,33367049.0,154373.0,54584949.0,53072954.0,149486288.0
France,2022-09,638530.0,984.0,34005579.0,155357.0,54602235.0,53095528.0,150124638.0
France,2022-10,1659192.0,1962.0,35664771.0,157319.0,54617132.0,53115722.0,151004777.0
France,2022-11,819993.0,1766.0,36484764.0,159085.0,54629795.0,53131783.0,151878365.0
France,2022-12,1504783.0,2582.0,37989547.0,161667.0,54644454.0,53148866.0,153458028.0
France,2023-01,337752.0,2813.0,38327299.0,164480.0,54658180.0,53164856.0,154165142.0
France,2023-02,99062.0,781.0,38426361.0,165261.0,54665247.0,53174650.0,154335793.0
France,2023-03,162067.0,608.0,38588428.0,165869.0,54670602.0,53182452.0,154409111.0
France,2023-04,254156.0,1089.0,38842584.0,166958.0,54673693.0,53187295.0,154445339.0
France,2023-05,101492.0,680.0,38944076.0,167638.0,54675803.0,53190103.0,154467854.0
France,2023-06,53414.0,347.0,38997490.0,167985.0,54677353.0,53192152.0,154489830.0
France,2023-07,0.0,0.0,38997490.0,167985.0,54677678.0,53192478.0,154493266.0
France,2023-08,0.0,0.0,38997490.0,167985.0,,,
France,2023-09,0.0,0.0,38997490.0,167985.0,,,
France,2023-10,0.0,0.0,38997490.0,167985.0,,,
France,2023-11,0.0,0.0,38997490.0,168004.0,,,
France,2023-12,0.0,0.0,38997490.0,168047.0,,,
France,2024-01,0.0,0.0,38997490.0,168081.0,,,
France,2024-02,0.0,0.0,38997490.0,168089.0,,,
France,2024-03,0.0,0.0,38997490.0,168091.0,,,
France,2024-04,0.0,0.0,38997490.0,168091.0,,,
France,2024-05,0.0,0.0,38997490.0,168091.0,,,
France,2024-06,0.0,0.0,38997490.0,168091.0,,,
France,2024-07,0.0,0.0,38997490.0,168091.0,,,
France,2024-08,0.0,0.0,38997490.0,168091.0,,,
Germany,2020-01,2.0,6.0,2.0,6.0,,,
Germany,2020-02,29.0,4.0,31.0,10.0,,,
Germany,2020-03,63873.0,2035.0,63904.0,2045.0,,,
Germany,2020-04,92908.0,6104.0,156812.0,8149.0,,,
Germany,2020-05,25270.0,987.0,182082.0,9136.0,,,
Germany,2020-06,12061.0,141.0,194143.0,9277.0,,,
Germany,2020-07,12100.0,115.0,206243.0,9392.0,,,
Germany,2020-08,37305.0,151.0,243548.0,9543.0,,,
Germany,2020-09,43743.0,295.0,287291.0,9838.0,,,
Germany,2020-10,158914.0,1847.0,446205.0,11685.0,,,
Germany,2020-11,616085.0,12894.0,1062290.0,24579.0,,,
Germany,2020-12,597888.0,22430.0,1660178.0,47009.0,206927.0,,206927.0
Germany,2021-01,561112.0,23808.0,2221290.0,70817.0,1945323.0,601932.0,2547255.0
Germany,2021-02,224108.0,6653.0,2445398.0,77470.0,4153745.0,2193157.0,6346902.0
Germany,2021-03,338735.0,4956.0,2784133.0,82426.0,9969934.0,4255149.0,14225083.0
Germany,2021-04,514894.0,6421.0,3299027.0,88847.0,23417029.0,6582835.0,29999514.0
Germany,2021-05,378814.0,3702.0,3677841.0,92549.0,36562117.0,15180670.0,51421898.0
Germany,2021-06,46886.0,285.0,3724727.0,92834.0,47103248.0,31310938.0,76759847.0
Germany,2021-07,31744.0,120.0,3756471.0,92954.0,52363569.0,43813621.0,94312436.0
Germany,2021-08,184045.0,880.0,3940516.0,93834.0,55284711.0,50492763.0,103827960.0
Germany,2021-09,261487.0,1620.0,4202003.0,95454.0,57553645.0,53577751.0,109890973.0
Germany,2021-10,414599.0,3818.0,4616602.0,99272.0,58687279.0,55368166.0,114157653.0
Germany,2021-11,1204044.0,9761.0,5820646.0,109033.0,60592071.0,56974571.0,126945496.0
Germany,2021-12,1193397.0,8659.0,7014043.0,117692.0,62755976.0,59158121.0,153966358.0
Germany,2022-01,2943869.0,4576.0,9957912.0,122268.0,64018481.0,61561557.0,169137403.0
Germany,2022-02,4888949.0,6640.0,14846861.0,128908.0,64400829.0,62688649.0,174300293.0
Germany,2022-03,5719250.0,7199.0,20566111.0,136107.0,64593840.0,63108382.0,178283670.0
Germany,2022-04,3790172.0,4621.0,24356283.0,140728.0,64668936.0,63258598.0,180589838.0
Germany,2022-05,1956766.0,2180.0,26313049.0,142908.0,64709801.0,63340811.0,182019562.0
Germany,2022-06,1564591.0,1476.0,27877640.0,144384.0,64742175.0,63395721.0,183007531.0
Germany,2022-07,3050163.0,4439.0,30927803.0,148823.0,64770395.0,63437497.0,184074128.0
Germany,2022-08,1152536.0,2404.0,32080339.0,151227.0,64794035.0,63470261.0,184849265.0
Germany,2022-09,921289.0,1542.0,33001628.0,152769.0,64813872.0,63498674.0,185932640.0
Germany,2022-10,2616430.0,6250.0,35618058.0,159019.0,64837302.0,63522661.0,188411647.0
Germany,2022-11,785849.0,2531.0,36403907.0,161550.0,64855288.0,63539843.0,190644801.0
Germany,2022-12,838029.0,4188.0,37241936.0,165738.0,64864280.0,63550296.0,191587054.0
Germany,2023-01,507137.0,2985.0,37749073.0,168723.0,64870312.0,63555965.0,191969425.0
Germany,2023-02,382122.0,1999.0,38131195.0,170722.0,64872861.0,63559019.0,192116766.0
Germany,2023-03,203025.0,2278.0,38334220.0,173000.0,64876036.0,63562946.0,192209132.0
Germany,2023-04,71037.0,1406.0,38405257.0,174406.0,64876299.0,63563414.0,192221468.0
Germany,2023-05,22699.0,433.0,38427956.0,174839.0,,,
Germany,2023-06,8701.0,132.0,38436657.0,174971.0,,,
Germany,2023-07,1099.0,8.0,38437756.0,174979.0,,,
Germany,2023-08,0.0,0.0,38437756.0,174979.0,,,
Germany,2023-09,0.0,0.0,38437756.0,174979.0,,,
Germany,2023-10,0.0,0.0,38437756.0,174979.0,,,
Germany,2023-11,0.0,0.0,38437756.0,174979.0,,,
Germany,2023-12,0.0,0.0,38437756.0,174979.0,,,
Germany,2024-01,0.0,0.0,38437756.0,174979.0,,,
Germany,2024-02,0.0,0.0,38437756.0,174979.0,,,
Germany,2024-03,0.0,0.0,38437756.0,174979.0,,,
Germany,2024-04,0.0,0.0,38437756.0,174979.0,,,
Germany,2024-05,0.0,0.0,38437756.0,174979.0,,,
Germany,2024-06,0.0,0.0,38437756.0,174979.0,,,
Germany,2024-07,0.0,0.0,38437756.0,174979.0,,,
Germany,2024-08,0.0,0.0,38437756.0,174979.0,,,
India,2020-01,0.0,0.0,0.0,0.0,,,
India,2020-02,7.0,0.0,7.0,0.0,,,
India,2020-03,972.0,25.0,979.0,25.0,,,
India,2020-04,25517.0,799.0,26496.0,824.0,,,
India,2020-05,155647.0,4340.0,182143.0,5164.0,,,
India,2020-06,346716.0,10931.0,528859.0,16095.0,,,
India,2020-07,856663.0,15968.0,1385522.0,32063.0,,,
India,2020-08,2157211.0,31435.0,3542733.0,63498.0,,,
India,2020-09,2449799.0,31005.0,5992532.0,94503.0,,,
India,2020-10,1872279.0,24031.0,7864811.0,118534.0,,,
India,2020-11,1528108.0,18162.0,9392919.0,136696.0,,,
India,2020-12,794931.0,10926.0,10187850.0,147622.0,,,
India,2021-01,558333.0,6652.0,10746183.0,154274.0,3758843.0,,3758843.0
India,2021-02,350548.0,2777.0,11096731.0,157051.0,11845075.0,2456191.0,14301266.0
India,2021-03,874893.0,4501.0,11971624.0,161552.0,55783201.0,9334695.0,65117896.0
India,2021-04,4988548.0,30759.0,16960172.0,192311.0,125376952.0,26621155.0,151998107.0
India,2021-05,10934628.0,133661.0,27894800.0,325972.0,167191085.0,43258810.0,210449895.0
India,2021-06,2338383.0,69779.0,30233183.0,395751.0,271410023.0,57748116.0,329158139.0
India,2021-07,1138718.0,24800.0,31371901.0,420551.0,359820313.0,101698166.0,461518479.0
India,2021-08,1323129.0,17279.0,32695030.0,437830.0,497002083.0,147797142.0,644799225.0
India,2021-09,957715.0,9088.0,33652745.0,446918.0,648949043.0,237476249.0,886425292.0
India,2021-10,620555.0,11268.0,34273300.0,458186.0,733542729.0,329088622.0,1062631351.0
India,2021-11,299223.0,10368.0,34572523.0,468554.0,789054196.0,448000946.0,1237055142.0
India,2021-12,214279.0,11128.0,34786802.0,479682.0,845640601.0,603224821.0,1448865422.0
India,2022-01,6305720.0,14409.0,41092522.0,494091.0,943027714.0,709926447.0,1664786038.0
India,2022-02,1823595.0,19633.0,42916117.0,513724.0,965733580.0,790556254.0,1775178647.0
India,2022-03,103336.0,7280.0,43019453.0,521004.0,988846975.0,831238996.0,1841947045.0
India,2022-04,38092.0,1189.0,43057545.0,522193.0,1003162202.0,858800580.0,1888681185.0
